1, 3, 0, 0.0, 2, 0, 0.0
2, 9, 0, 0.0, 14, 1, 0.0
3, 19, 2, 0.0, 41, 3, 0.0
4, 25, 2, 0.0, 70, 6, 0.0
5, 31, 2, 0.0, 101, 9, 0.0
6, 37, 2, 0.0, 134, 12, 0.0
7, 49, 5, 0.0, 169, 16, 0.0
8, 45, 0, 0.0, 202, 21, 0.0
9, 65, 7, 0.0, 241, 25, 0.0
