81, 483, 0, 1693913497692610.5, 3661, 482, 1693913497692610.5
82, 489, 0, 1693913497693609.8, 3712, 487, 1693913497693609.8
83, 497, 1, 1693913497694621.5, 3764, 493, 1693913497694621.5
84, 501, 0, 1693913497695624.2, 3817, 500, 1693913497695624.2
85, 511, 2, 1693913497697106.8, 3871, 507, 1693913497697106.8
86, 519, 3, 1693913497697609.8, 3925, 514, 1693913497697609.8
87, 519, 0, 1693913497699376.2, 3977, 522, 1693913497699376.2
88, 525, 0, 1693913497700381.0, 4032, 531, 1693913497700608.8
89, 531, 0, 1693913497701126.8, 4086, 539, 1693913497701126.8
90, 537, 0, 1693913497702176.2, 4139, 546, 1693913497702176.2
91, 545, 1, 1693913497703424.8, 4193, 554, 1693913497703424.8
92, 549, 0, 1693913497704469.0, 4248, 563, 1693913497704469.0
93, 555, 0, 1693913497705815.2, 4303, 572, 1693913497705815.2
94, 561, 0, 1693913497707050.8, 4358, 581, 1693913497707050.8
95, 567, 0, 1693913497708053.2, 4414, 591, 1693913497708053.2
96, 573, 0, 1693913497709556.5, 4471, 602, 1693913497709556.5
97, 585, 3, 1693913497710566.5, 4526, 610, 1693913497710566.5
98, 593, 4, 1693913497712077.2, 4578, 615, 1693913497712077.2
99, 591, 0, 1693913497713091.0, 4628, 621, 1693913497713594.2
100, 597, 0, 1693913497714650.5, 4681, 628, 1693913497714650.5
101, 603, 0, 1693913497715153.8, 4734, 635, 1693913497716155.5
102, 609, 0, 1693913497717155.5, 4787, 642, 1693913497717155.5
103, 615, 0, 1693913497718201.2, 4841, 650, 1693913497718201.2
104, 621, 0, 1693913497719707.8, 4896, 659, 1693913497719707.8
105, 627, 0, 1693913497720940.0, 4950, 667, 1693913497720940.0
106, 633, 0, 1693913497721924.8, 5003, 674, 1693913497721924.8
107, 641, 1, 1693913497722925.0, 5057, 682, 1693913497723982.2
108, 647, 1, 1693913497724982.2, 5112, 691, 1693913497724982.2
109, 657, 3, 1693913497725982.2, 5168, 700, 1693913497726485.2
110, 661, 2, 1693913497727754.2, 5223, 709, 1693913497728257.0
111, 663, 0, 1693913497728760.0, 5278, 719, 1693913497728760.0
112, 669, 0, 1693913497729763.2, 5335, 730, 1693913497730765.0
113, 677, 1, 1693913497731268.0, 5390, 739, 1693913497732434.2
114, 683, 1, 1693913497732434.2, 5443, 746, 1693913497733867.0
115, 693, 3, 1693913497733867.0, 5498, 754, 1693913497735292.8
116, 693, 0, 1693913497735292.8, 5552, 763, 1693913497736349.5
117, 699, 0, 1693913497736852.8, 5607, 772, 1693913497737854.5
118, 705, 0, 1693913497737854.5, 5662, 781, 1693913497739357.5
119, 715, 2, 1693913497740359.2, 5719, 791, 1693913497740863.0
120, 717, 0, 1693913497741864.8, 5775, 802, 1693913497741864.8
121, 723, 0, 1693913497742864.8, 5831, 812, 1693913497743865.0
122, 729, 0, 1693913497744865.2, 5886, 821, 1693913497744865.2
123, 735, 0, 1693913497745865.5, 5942, 831, 1693913497746918.2
124, 741, 0, 1693913497747421.2, 5999, 842, 1693913497748617.2
125, 747, 0, 1693913497750492.8, 6056, 853, 1693913497750492.8
126, 753, 0, 1693913497751494.2, 6113, 864, 1693913497752494.8
127, 759, 0, 1693913497753495.2, 6171, 876, 1693913497753495.2
128, 765, 0, 1693913497754495.2, 6230, 889, 1693913497755495.5
129, 775, 2, 1693913497756551.8, 6287, 897, 1693913497756551.8
130, 777, 0, 1693913497758555.0, 6339, 900, 1693913497758555.0
131, 783, 0, 1693913497760058.5, 6393, 904, 1693913497760562.0
132, 789, 0, 1693913497761571.5, 6448, 909, 1693913497761571.5
133, 797, 1, 1693913497763586.5, 6503, 914, 1693913497763586.5
134, 801, 0, 1693913497764589.0, 6558, 919, 1693913497765598.8
135, 807, 0, 1693913497766657.2, 6614, 925, 1693913497766657.2
136, 813, 0, 1693913497768169.2, 6671, 932, 1693913497768169.2
137, 819, 0, 1693913497769678.2, 6727, 938, 1693913497770910.0
138, 825, 0, 1693913497771911.8, 6782, 943, 1693913497772415.0
139, 831, 0, 1693913497772918.0, 6838, 949, 1693913497773919.8
140, 837, 0, 1693913497774919.8, 6895, 956, 1693913497775920.2
141, 843, 0, 1693913497776920.2, 6952, 963, 1693913497777967.5
142, 849, 0, 1693913497777967.5, 7009, 970, 1693913497779471.2
143, 859, 2, 1693913497780473.5, 7068, 978, 1693913497781480.2
144, 861, 0, 1693913497782481.8, 7126, 987, 1693913497782481.8
145, 867, 0, 1693913497784482.0, 7183, 994, 1693913497784482.0
146, 875, 1, 1693913497785482.5, 7238, 999, 1693913497786482.8
147, 879, 0, 1693913497787483.0, 7294, 1005, 1693913497788543.2
148, 885, 0, 1693913497790990.2, 7351, 1012, 1693913497791992.0
149, 891, 0, 1693913497792992.5, 7408, 1019, 1693913497793992.5
150, 899, 1, 1693913497794992.8, 7465, 1026, 1693913497795992.8
151, 905, 1, 1693913497796993.0, 7523, 1034, 1693913497797993.2
152, 909, 0, 1693913497799551.5, 7582, 1043, 1693913497800498.5
153, 915, 0, 1693913497801002.5, 7640, 1051, 1693913497802004.2
154, 921, 0, 1693913497803329.8, 7697, 1058, 1693913497804332.8
155, 927, 0, 1693913497804836.0, 7755, 1066, 1693913497805839.8
156, 933, 0, 1693913497806842.2, 7814, 1075, 1693913497807844.8
157, 939, 0, 1693913497809400.5, 7873, 1084, 1693913497810605.2
158, 945, 0, 1693913497811607.5, 7932, 1093, 1693913497812110.5
159, 953, 1, 1693913497813124.8, 7992, 1103, 1693913497814127.5
160, 957, 0, 1693913497815130.0, 8053, 1114, 1693913497816132.8
161, 963, 0, 1693913497818138.0, 8111, 1122, 1693913497818138.0
162, 971, 1, 1693913497819692.0, 8166, 1127, 1693913497820728.5
163, 975, 0, 1693913497821737.0, 8222, 1133, 1693913497822737.0
164, 981, 0, 1693913497823737.0, 8279, 1140, 1693913497824737.2
165, 989, 1, 1693913497825737.5, 8336, 1147, 1693913497827356.5
166, 997, 2, 1693913497828358.0, 8394, 1154, 1693913497829358.0
167, 1005, 3, 1693913497830630.0, 8453, 1162, 1693913497831698.0
168, 1013, 4, 1693913497832706.5, 8512, 1171, 1693913497833209.5
169, 1011, 0, 1693913497835211.2, 8568, 1179, 1693913497836212.5
170, 1017, 0, 1693913497837211.8, 8625, 1186, 1693913497838212.0
171, 1023, 0, 1693913497839715.5, 8683, 1194, 1693913497839715.5
172, 1029, 0, 1693913497841790.0, 8742, 1203, 1693913497842293.2
173, 1035, 0, 1693913497844258.8, 8801, 1212, 1693913497844761.8
