    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  138,          5419,            5290,           1999,       803,         986,       1000
  139,          5421,            5291,           3000,       812,         995,          0
  140,          5493,            5362,           3000,       828,        1004,       1000
  141,          5576,            5444,           2001,       838,        1013,        999
  142,          5714,            5581,           3001,       840,        1022,          0
  143,          5848,            5714,           2000,       848,        1031,        999
  144,          5895,            5760,           2000,       858,        1040,       1000
  145,          5993,            5857,           3000,       865,        1049,          0
  146,          6126,            5989,           3001,       875,        1058,       1000
  147,          6234,            6096,           3000,       881,        1067,          0
  148,          6305,            6166,           3000,       888,        1076,       1000
  149,          6426,            6286,           3000,       895,        1085,          0
  150,          6456,            6315,           3000,       903,        1094,        999
  151,          6597,            6455,           3000,       915,        1103,       1000
  152,          6637,            6494,           3000,       925,        1112,          0
  153,          6753,            6609,           3000,       931,        1121,       1000
  154,          6786,            6641,           3000,       931,        1130,       1000
  155,          6831,            6685,           3000,       935,        1139,       1000
  156,          6932,            6785,           3000,       951,        1148,       1000
  157,          6942,            6794,           3000,       956,        1157,       1001
  158,          7034,            6885,           3000,       953,        1166,       1000
  159,          7080,            6930,           3000,       963,        1175,       1001
  160,          7164,            7013,           2999,       982,        1184,       1000
  161,          7184,            7032,           3000,       988,        1193,       1000
  162,          7212,            7059,           4000,       994,        1202,       1000
  163,          7370,            7216,           3000,      1001,        1211,       1000
  164,          7450,            7295,           3000,       996,        1220,          0
  165,          7518,            7362,           4001,      1002,        1229,        999
  166,          7531,            7374,           3001,      1008,        1238,        999
  167,          7665,            7507,           4209,      1018,        1247,       1000
  168,          7706,            7547,           3000,      1047,        1256,       1000
  169,          7869,            7709,           4000,      1055,        1265,       1000
  170,          8020,            7859,           3000,      1058,        1274,       1001
  171,          8059,            7897,           3999,      1060,        1283,       1000
  172,          8230,            8067,           3000,      1061,        1292,       1000
  173,          8277,            8113,           4000,      1068,        1301,       1000
  174,          8284,            8119,           3000,      1082,        1310,          0
  175,          8424,            8258,           3000,      1089,        1319,       1000
  176,          8540,            8373,           4001,      1097,        1328,        999
  177,          8671,            8503,           4000,      1101,        1337,       1000
  178,          8716,            8547,           3000,      1121,        1346,        999
  179,          8880,            8710,           4000,      1129,        1355,       1000
  180,          8931,            8760,           3000,      1129,        1364,       1000
  181,          9031,            8859,           3999,      1139,        1373,       2001
  182,          9080,            8907,           4000,      1156,        1382,        999
  183,          9160,            8986,           4000,      1150,        1391,       1000
  184,          9288,            9113,           4000,      1162,        1400,        999
  185,          9450,            9274,           4001,      1171,        1409,       1000
  186,          9606,            9429,           4000,      1168,        1418,       1000
  187,          9741,            9563,           5000,      1178,        1427,       1000
  188,          9829,            9650,           5002,      1184,        1436,       1000
  189,          9859,            9679,           5000,      1190,        1445,       1000
  190,         10010,            9829,           4000,      1203,        1454,       1000
  191,         10168,            9986,           4001,      1208,        1463,        999
  192,         10315,           10132,           5000,      1216,        1472,       1001
  193,         10352,           10168,           5000,      1224,        1481,       1000
  194,         10534,           10349,           4000,      1245,        1490,       1000
  195,         10612,           10426,           7001,      1257,        1499,        999
  196,         10798,           10611,           6002,      1256,        1508,       1000
  197,         10805,           10617,           6000,      1266,        1517,       2001
  198,         10912,           10723,           5000,      1275,        1526,       1000
  199,         11104,           10914,           5001,      1278,        1535,        999
  200,         11188,           10997,           5000,      1293,        1544,       1000
  201,         11295,           11103,           5001,      1301,        1553,       1000
  202,         11493,           11300,           5001,      1312,        1562,       1000
  203,         11670,           11476,           5001,      1316,        1571,       2001
  204,         11773,           11578,           5000,      1314,        1580,       1000
  205,         11853,           11657,           5000,      1324,        1589,       1000
  206,         12038,           11841,           5001,      1340,        1598,       1000
  207,         12240,           12042,           5000,      1336,        1607,       1001
  208,         12431,           12232,           6000,      1357,        1616,        999
  209,         12616,           12416,           5001,      1365,        1625,       1000
  210,         12629,           12428,           5000,      1370,        1634,       1000
  211,         12811,           12609,           5001,      1383,        1643,       1000
  212,         12986,           12783,           6003,      1384,        1652,       1998
  213,         13085,           12881,           5000,      1391,        1661,       2000
  214,         13298,           13094,           5001,      1409,        1670,       1000
  215,         13479,           13274,           6000,      1411,        1679,       1000
  216,         13501,           13295,           7001,      1414,        1688,       1000
  217,         13520,           13313,           6001,      1422,        1697,        999
  218,         13658,           13450,           6001,      1433,        1706,       1000
  219,         13828,           13619,           6001,      1434,        1715,        999
  220,         13979,           13769,           6001,      1448,        1724,       2000
  221,         13996,           13785,           6000,      1459,        1733,       1000
  222,         14186,           13974,           6000,      1459,        1742,       2001
  223,         14331,           14118,           5773,      1467,        1751,       2000
  224,         14450,           14236,           7000,      1486,        1760,       1000
  225,         14556,           14341,           7002,      1494,        1769,       1999
  226,         14579,           14363,           6000,      1501,        1778,       2001
  227,         14687,           14470,           6001,      1506,        1787,       1999
  228,         14875,           14657,           6000,      1511,        1796,       2001
  229,         15096,           14877,           6000,      1519,        1805,       2000
  230,         15106,           14886,           6000,      1532,        1814,       2000
  231,         15206,           14985,           7001,      1548,        1823,        999
  232,         15281,           15059,           7002,      1535,        1832,        999
  233,         15335,           15112,           6000,      1544,        1841,       2000
  234,         15443,           15219,           8002,      1563,        1850,        999
  235,         15531,           15306,           7000,      1565,        1859,       2001
  236,         15572,           15346,           8001,      1565,        1868,       1000
  237,         15760,           15533,           7001,      1579,        1877,       1000
  238,         15811,           15583,           7001,      1581,        1886,       2000
  239,         16049,           15821,           7001,      1591,        1895,        999
  240,         16220,           15991,           7001,      1611,        1904,       2000
  241,         16440,           16210,           7001,      1618,        1913,        999
  242,         16528,           16297,           7001,      1630,        1922,       2000
  243,         16615,           16383,           7001,      1634,        1931,       1000
  244,         16725,           16492,           7001,      1640,        1940,       2000
  245,         16808,           16574,           7002,      1651,        1949,       1999
  246,         16825,           16590,           7002,      1661,        1958,       2000
  247,         16831,           16595,           7001,      1672,        1967,       2000
  248,         16947,           16710,           7001,      1660,        1976,       1000
  249,         17130,           16892,           8001,      1668,        1985,        999
  250,         17284,           17045,           7002,      1686,        1994,       1000
  251,         17293,           17053,           7001,      1687,        2003,       2000
  252,         17484,           17243,           7002,      1706,        2012,       1999
  253,         17496,           17254,           7002,      1705,        2021,       2000
  254,         17626,           17383,           7001,      1718,        2030,       2000
  255,         17816,           17572,           8002,      1723,        2039,        998
  256,         18030,           17785,           8002,      1740,        2048,       2000
  257,         18097,           17851,           7001,      1750,        2058,        999
  258,         18322,           18075,           8001,      1749,        2068,       2000
  259,         18453,           18205,           7001,      1761,        2078,        999
  260,         18483,           18234,           8001,      1759,        2088,       2000
  261,         18487,           18237,           8001,      1769,        2098,       1000
  262,         18607,           18356,           9002,      1781,        2108,       1000
  263,         18647,           18395,           8001,      1784,        2118,       2000
  264,         18697,           18444,           8001,      1803,        2128,       2000
  265,         18719,           18465,           8002,      1815,        2138,       2001
  266,         18737,           18482,           8001,      1822,        2148,       1999
  267,         18761,           18505,           8001,      1832,        2158,       2000
  268,         18941,           18684,           9001,      1835,        2168,       1000
  269,         19128,           18870,           9001,      1844,        2178,       2001
  270,         19397,           19138,           8001,      1854,        2188,       2000
  271,         19399,           19139,           9002,      1860,        2198,       1000
  272,         19434,           19173,           8002,      1861,        2208,       2000
  273,         19685,           19423,           8001,      1868,        2218,       2000
  274,         19936,           19673,           8001,      1879,        2228,       2001
  275,         20062,           19798,           9000,      1884,        2238,       1001
  276,         20275,           20010,           8001,      1899,        2248,       2000
  277,         20385,           20119,           9001,      1905,        2258,       2000
  278,         20495,           20228,           9001,      1908,        2268,        999
  279,         20524,           20256,           9002,      1918,        2278,       2000
  280,         20792,           20523,           9001,      1936,        2288,       2000
  281,         20889,           20619,           9001,      1940,        2298,       2000
  282,         21053,           20782,           9001,      1948,        2308,       2001
  283,         21150,           20878,           9001,      1964,        2318,       2000
  284,         21307,           21034,           9001,      1972,        2328,       2000
  285,         21368,           21094,           9001,      1985,        2338,       2001
  286,         21533,           21258,           9002,      1991,        2348,       2999
  287,         21647,           21371,          13002,      1999,        2358,       3001
  288,         21729,           21452,          13004,      1999,        2368,       1999
  289,         22016,           21738,          10002,      2008,        2378,       2000
  290,         22072,           21793,          10001,      2017,        2388,       2001
  291,         22226,           21946,           9001,      2023,        2398,       2000
  292,         22474,           22193,          10001,      2047,        2408,       2000
  293,         22685,           22403,          10002,      2059,        2418,       2000
  294,         22789,           22506,           9001,      2052,        2428,        999
  295,         23040,           22756,          10002,      2060,        2438,       1999
  296,         23089,           22804,          10002,      2071,        2448,       2001
  297,         23361,           23075,          10001,      2082,        2458,       2000
  298,         23540,           23253,          10002,      2088,        2468,       2001
  299,         23809,           23521,          10001,      2097,        2478,       2001
  300,         23995,           23706,          10002,      2106,        2488,       2000
  301,         24088,           23798,          10002,      2110,        2498,       2000
  302,         24180,           23889,          11002,      2119,        2508,       2000
  303,         24206,           23914,          10002,      2136,        2518,       2000
  304,         24402,           24109,          11002,      2155,        2528,       1999
  305,         24635,           24341,          10002,      2165,        2538,       2000
  306,         24919,           24624,          11002,      2172,        2548,       2000
  307,         25087,           24791,          11002,      2184,        2558,       1999
  308,         25171,           24874,          10002,      2174,        2568,       1000
  309,         25331,           25033,          10002,      2180,        2578,       1999
  310,         25474,           25175,          11002,      2182,        2588,       2000
  311,         25483,           25183,          11003,      2193,        2598,       2000
  312,         25706,           25405,          11002,      2218,        2608,       2000
  313,         25782,           25480,          12003,      2221,        2618,       2999
  314,         25990,           25687,          13002,      2223,        2628,       1999
  315,         26191,           25887,          12002,      2234,        2638,       3002
  316,         26254,           25949,          11000,      2227,        2648,       2000
  317,         26361,           26055,          11001,      2239,        2658,       2001
  318,         26441,           26134,          11002,      2250,        2668,       2001
  319,         26517,           26209,          12002,      2262,        2678,       1212
  320,         26797,           26488,          12004,      2289,        2688,       2000
  321,         27046,           26736,          11001,      2298,        2698,       2001
  322,         27195,           26884,          11002,      2290,        2708,       3000
  323,         27267,           26955,          11003,      2302,        2718,       3000
  324,         27282,           26969,          11002,      2307,        2728,       2001
  325,         27363,           27049,          11002,      2315,        2738,       2001
  326,         27447,           27132,          11001,      2324,        2748,       2000
  327,         27527,           27211,          11003,      2341,        2758,       1999
  328,         27838,           27521,          11001,      2337,        2768,       3000
  329,         27987,           27669,          11002,      2345,        2778,       2000
  330,         28188,           27869,          12002,      2342,        2788,       2000
  331,         28399,           28079,          12002,      2366,        2798,       1999
  332,         28564,           28243,          12003,      2370,        2808,       2000
  333,         28566,           28244,          13003,      2372,        2818,       2000
  334,         28618,           28295,          12002,      2377,        2828,       2001
  335,         28750,           28426,          12002,      2385,        2838,       3001
  336,         29070,           28745,          12002,      2419,        2848,       2000
  337,         29157,           28831,          13003,      2430,        2858,       2000
  338,         29201,           28874,          12002,      2437,        2868,       3000
  339,         29314,           28986,          12002,      2440,        2878,       2000
  340,         29502,           29173,          13003,      2459,        2888,       2000
  341,         29683,           29353,          12002,      2456,        2898,       3000
  342,         29749,           29418,          12002,      2465,        2908,       1999
  343,         29911,           29579,          12002,      2479,        2918,       2000
  344,         30241,           29908,          13002,      2468,        2928,       3000
  345,         30416,           30082,          13002,      2480,        2938,       2000
  346,         30594,           30259,          13002,      2486,        2948,       2000
  347,         30631,           30295,          13002,      2494,        2958,       2000
  348,         30803,           30466,          14002,      2510,        2968,       2000
  349,         30864,           30526,          13002,      2506,        2978,       2001
  350,         31193,           30854,          13003,      2530,        2988,       2000
  351,         31417,           31077,          14003,      2541,        2998,       2000
  352,         31737,           31396,          14002,      2530,        3008,       2000
  353,         31919,           31577,          14002,      2544,        3018,       2000
  354,         31952,           31609,          14002,      2559,        3028,       3000
  355,         32121,           31777,          13003,      2572,        3038,       3000
  356,         32447,           32102,          14003,      2590,        3048,       2000
  357,         32633,           32287,          15003,      2598,        3058,       1999
  358,         32640,           32293,          15002,      2607,        3068,       2001
  359,         32932,           32584,          15002,      2619,        3078,       2001
  360,         33254,           32905,          15002,      2632,        3088,       1999
  361,         33367,           33017,          15003,      2633,        3098,       2000
  362,         33666,           33315,          15003,      2647,        3108,       2000
  363,         33849,           33497,          15002,      2651,        3118,       2000
  364,         33871,           33518,          15002,      2659,        3128,       3000
  365,         34094,           33740,          15003,      2668,        3138,       2000
  366,         34290,           33935,          16003,      2675,        3148,       2000
  367,         34616,           34260,          15003,      2683,        3158,       3000
  368,         34659,           34302,          15003,      2686,        3168,       3000
  369,         34694,           34336,          15003,      2693,        3178,       2000
  370,         34920,           34561,          15003,      2713,        3188,       3000
  371,         34949,           34589,          14003,      2728,        3198,       2000
  372,         35123,           34762,          15002,      2719,        3208,       3000
  373,         35376,           35014,          15003,      2724,        3218,       3000
  374,         35666,           35303,          15003,      2737,        3228,       3000
  375,         35707,           35343,          15003,      2748,        3238,       2000
  376,         35745,           35380,          16002,      2753,        3248,       2001
  377,         35774,           35408,          15003,      2767,        3258,       3000
  378,         35821,           35454,          15003,      2772,        3268,       3000
  379,         36141,           35773,          15003,      2772,        3278,       3000
  380,         36425,           36056,          15003,      2792,        3288,       2001
  381,         36521,           36151,          16003,      2796,        3298,       2000
  382,         36709,           36338,          16003,      2805,        3308,       3000
  383,         37070,           36698,          16003,      2815,        3318,       2000
  384,         37215,           36842,          16003,      2825,        3328,       3000
  385,         37496,           37122,          16003,      2834,        3338,       2000
  386,         37700,           37325,          16002,      2842,        3348,       2001
  387,         37996,           37620,          16003,      2856,        3358,       3000
  388,         38226,           37849,          16003,      2873,        3368,       3000
  389,         38341,           37963,          17003,      2875,        3378,       2000
  390,         38360,           37981,          17003,      2896,        3388,       2001
  391,         38560,           38180,          17002,      2919,        3398,       2000
  392,         38736,           38355,          16003,      2894,        3408,       3000
  393,         38780,           38398,          16003,      2904,        3418,       2000
  394,         39110,           38727,          17004,      2923,        3428,       3000
  395,         39397,           39013,          17004,      2931,        3438,       3000
  396,         39752,           39367,          17004,      2936,        3448,       3000
  397,         40059,           39673,          17003,      2949,        3458,       3000
  398,         40408,           40021,          18004,      2951,        3468,       2000
  399,         40610,           40222,          18003,      2963,        3478,       3001
  400,         40984,           40595,          18218,      2981,        3488,       3000
  401,         41256,           40866,          18004,      2991,        3498,       2000
  402,         41338,           40947,          18004,      2991,        3508,       3000
  403,         41373,           40981,          23005,      3006,        3518,       1999
  404,         41529,           41136,          18003,      3019,        3528,       2001
  405,         41893,           41499,          19003,      3028,        3538,       3000
  406,         42003,           41608,          18004,      3024,        3548,       2001
  407,         42158,           41762,          19003,      3029,        3558,       3000
  408,         42472,           42075,          18003,      3036,        3568,       3000
  409,         42490,           42092,          18002,      3055,        3578,       3001
  410,         42725,           42326,          18003,      3053,        3588,       3000
  411,         42734,           42334,          19005,      3061,        3598,       3000
  412,         43036,           42635,          18004,      3086,        3608,       3000
  413,         43434,           43032,          18003,      3088,        3618,       3000
  414,         43608,           43205,          19005,      3077,        3628,       3000
  415,         43767,           43363,          19003,      3086,        3638,       2000
  416,         44050,           43645,          18004,      3124,        3648,       2000
  417,         44199,           43793,          19038,      3133,        3658,       3000
  418,         44349,           43942,          19004,      3130,        3668,       3000
  419,         44438,           44030,          19004,      3139,        3678,       3000
  420,         44806,           44397,          19004,      3167,        3688,       3000
  421,         45055,           44645,          19003,      3169,        3698,       3001
  422,         45440,           45029,          20004,      3170,        3708,       2000
  423,         45682,           45270,          19003,      3194,        3718,       3001
  424,         45895,           45482,          20004,      3185,        3728,       2000
  425,         46244,           45830,          19004,      3189,        3738,       3000
  426,         46653,           46238,          20004,      3197,        3748,       3000
  427,         46915,           46499,          21004,      3205,        3758,       3000
  428,         47030,           46613,          20004,      3229,        3768,       3001
  429,         47283,           46865,          21003,      3239,        3778,       3001
  430,         47532,           47113,          21004,      3249,        3788,       3000
  431,         47843,           47423,          21004,      3256,        3798,       3000
  432,         48097,           47676,          21004,      3255,        3808,       3001
  433,         48140,           47718,          21005,      3262,        3818,       3000
  434,         48162,           47739,          21005,      3277,        3828,       2999
  435,         48395,           47971,          21004,      3281,        3838,       3000
  436,         48489,           48064,          21004,      3283,        3848,       3000
  437,         48773,           48347,          21004,      3300,        3858,       3000
  438,         49050,           48623,          21004,      3311,        3868,       3000
  439,         49179,           48751,          21004,      3317,        3878,       3000
  440,         49312,           48883,          22004,      3318,        3888,       3000
  441,         49633,           49203,          22005,      3331,        3898,       3000
  442,         49906,           49475,          21004,      3344,        3908,       2000
